"","date","cycle","amount","recipcode","occupation","employer","orgname","contribid"
"41216","07/15/2014",2014,208,"PB","MANAGING DIRECTOR","MORGAN STANLEY","","f90002366051"
"41217","07/31/2014",2014,208,"PB","MANAGING DIRECTOR","MORGAN STANLEY","","f90002366051"
"41218","07/31/2014",2014,208,"PB","MANAGING DIRECTOR","MORGAN STANLEY","","m0002263624 "
"41219","07/25/2014",2014,1000,"PB","SR. VICE PRESIDENT","REGIONS BANK","","m0002138539 "
"41220","07/31/2014",2014,416,"PB","GENERAL COUNSEL&CORPORATE SEC","REGIONS BANK","","b9060129258 "
"41221","07/25/2014",2014,250,"PB","DERIVATIVES TRADER","REGIONS BANK","","n0001419198 "
"41222","07/31/2014",2014,416,"PB","CHIEF FINANCIAL OFFICER","REGIONS BANK","","h1001373281 "
"41223","07/14/2014",2014,5000,"PB","SENIOR VICE PRESIDENT","BANK OF AMERICA","","h3001857570 "
"41224","07/31/2014",2014,208,"PB","MANAGING DIRECTOR","MORGAN STANLEY","","n0001335016 "
"41225","07/15/2014",2014,208,"PB","MANAGING DIRECTOR","MORGAN STANLEY","","m0002263624 "
"41226","07/31/2014",2014,416,"PB","HEAD OF CORPORATE BANKING","REGIONS BANK","","n0001613960 "
"41227","07/31/2014",2014,416,"PB","CHIEF RISK OFFICER","REGIONS BANK","","d1006739220 "
"41228","07/31/2014",2014,416,"PB","CHAIRMAN PRESIDENT AND CEO","REGIONS BANK","","j1991840641 "
"41229","07/31/2014",2014,416,"PB","REGIONAL PRESIDENT","REGIONS BANK","","k00015977531"
"41230","07/11/2014",2014,625,"PB","DIRECTOR","REGIONS BANK","","n0001130355 "
"41231","07/31/2014",2014,416,"PB","HEAD OF GENERAL BANK","REGIONS BANK","","n0001349960 "
"41232","07/20/2014",2014,250,"DP","ATTORNEY","WELLS FARGO","Wells Fargo","h3001904050 "
"41233","07/03/2014",2014,2500,"RP","LAWYER","BANK OF AMERICA","Bank of America","m0001444680 "
"41234","03/31/2014",2014,500,"DL","FINANCIAL ADVISOR","WELLS FARGO","Wells Fargo Advisors","m0001204868 "
"41235","07/28/2014",2014,1100,"DL","BANKER","MERRILL LYNCH","Merrill Lynch","n0001411649 "
"41236","05/29/2014",2014,1500,"RP","FINANCIAL PLANNING","MERRILL LYNCH","Merrill Lynch","h3001573194 "
"41237","06/19/2014",2014,2600,"DL","BANKER","GOLDMAN SACHS","[24T Contribution]","U00000041591"
"41238","06/19/2014",2014,2600,"DL","BANKER","GOLDMAN SACHS","[24T Contribution]","U00000041591"
"41239","06/19/2014",2014,2600,"DL","BANKER","GOLDMAN SACHS","[24T Contribution]","U00000041591"
"41240","06/22/2014",2014,2600,"DW","BANKER","GOLDMAN SACHS","[24T Contribution]","U00000041591"
"41241","02/04/2013",2014,1000,"DW","BANKER","WELLS FARGO","Wells Fargo","f0000290080 "
"41242","06/10/2013",2014,370,"PI","SENIOR VICE PRESIDENT","PNC BANK","","j1001169439 "
"41243","06/10/2013",2014,1000,"RW","FINANCIAL ADVISOR","MERRILL LYNCH","Merrill Lynch","k0001352846 "
"41244","04/14/2013",2014,500,"RW","ATTORNEY","PNC BANK","PNC Financial Services","i3003591533 "
"41245","05/30/2013",2014,1000,"RW","FINANCIAL ADVISOR","GOLDMAN SACHS","Goldman Sachs","g1106286697 "
"41246","08/05/2014",2014,1000,"DW","BANKER","MORGAN STANLEY","Morgan Stanley","j1001283311 "
"41247","04/17/2013",2014,500,"RW","INVESTMENT ADVISOR","MORGAN STANLEY","Morgan Stanley","h2001167629 "
"41248","07/10/2014",2014,200,"PB","SR. VICE PRESIDENT","MORGAN STANLEY","","n0001336968 "
"41249","07/15/2014",2014,208,"PB","MANAGING DIRECTOR","MORGAN STANLEY","","a0001177598 "
"41250","07/31/2014",2014,300,"PB","SR. VICE PRESIDENT","MORGAN STANLEY","","n0001375985 "
"41251","07/31/2014",2014,200,"PB","MANAGING DIRECTOR","MORGAN STANLEY","","i3003974763 "
"41252","07/31/2014",2014,208,"PB","MANAGING DIRECTOR","MORGAN STANLEY","","f1000398720 "
"41253","07/10/2014",2014,300,"PB","MANAGING DIRECTOR","MORGAN STANLEY","","m0080222627 "
"41254","12/03/2013",2014,300,"DW","FINANCIAL ADVISOR","MERRILL LYNCH","[24T Contribution]","h3001484184 "
"41255","12/03/2013",2014,200,"DW","FINANCIAL ADVISOR","MERRILL LYNCH","[24T Contribution]","h3001484184 "
"41256","12/03/2013",2014,300,"DL","FINANCIAL ADVISOR","MERRILL LYNCH","[24T Contribution]","h3001484184 "
"41257","05/09/2014",2014,1000,"RP","FINANCIAL ADVISOR WEALTH MGMT","MERRILL LYNCH","Merrill Lynch","k0001614925 "
"41258","07/31/2014",2014,416,"PB","REGIONAL PRESIDENT","REGIONS BANK","","n0001349022 "
"41259","06/28/2013",2014,500,"RW","FINANCIAL ADVISOR","WELLS FARGO","Wells Fargo","n0001143438 "
"41260","06/13/2013",2014,500,"RW","MANAGING DIRECTOR","MERRILL LYNCH","[24I Contribution]","n0001134452 "
"41261","06/14/2013",2014,10400,"DW","FINANCE","GOLDMAN SACHS","[24I Contribution]","h1001406273 "
"41262","06/13/2013",2014,500,"PI","PRODUCT MANAGEMENT","WELLS FARGO","Wells Fargo","k0001597974 "
"41263","04/19/2013",2014,1000,"PI","FINANCIAL ADVISOR","BANK OF AMERICA","Bank of America","g1100419831 "
"41264","06/13/2014",2014,1000,"DW","FINANCE","JP MORGAN","JPMorgan Chase & Co","j1001742813 "
"41265","01/31/2013",2014,220,"PB","MANAGING DIRECTOR","MORGAN STANLEY","","i30037811951"
"41266","02/15/2013",2014,208,"PB","MANAGING DIRECTOR","MORGAN STANLEY","","k0001439255 "
"41267","04/30/2013",2014,208,"PB","MANAGING DIRECTOR","MORGAN STANLEY","","f1000398720 "
"41268","01/31/2013",2014,200,"PB","SR. VICE PRESIDENT","MORGAN STANLEY","","f0000090086 "
"41269","03/08/2013",2014,200,"PB","SR. VICE PRESIDENT","MORGAN STANLEY","","f0000090086 "
"41270","06/10/2013",2014,200,"PB","SR. VICE PRESIDENT","MORGAN STANLEY","","f0000090086 "
"41271","03/28/2013",2014,300,"PB","MANAGING DIRECTOR","MORGAN STANLEY","","m0080222627 "
"41272","03/28/2013",2014,208,"PB","MANAGING DIRECTOR","MORGAN STANLEY","","k0001439255 "
"41273","03/15/2013",2014,208,"PB","MANAGING DIRECTOR","MORGAN STANLEY","","k0001439255 "
"41274","06/14/2013",2014,208,"PB","MANAGING DIRECTOR","MORGAN STANLEY","","f1000398720 "
"41275","03/08/2013",2014,300,"PB","MANAGING DIRECTOR","MORGAN STANLEY","","m0080222627 "
"41276","03/28/2013",2014,200,"PB","SR. VICE PRESIDENT","MORGAN STANLEY","","f0000090086 "
"41277","01/15/2013",2014,208,"PB","MANAGING DIRECTOR","MORGAN STANLEY","","k0001439255 "
"41278","04/30/2013",2014,300,"PB","MANAGING DIRECTOR","MORGAN STANLEY","","m0080222627 "
"41279","02/15/2013",2014,208,"PB","MANAGING DIRECTOR","MORGAN STANLEY","","f1000398720 "
"41280","05/10/2013",2014,200,"PB","SR. VICE PRESIDENT","MORGAN STANLEY","","f0000090086 "
