cycle,bank_name,share_donations_d,n_donations_all,dem_55,dem_60,share_donations_d_imp,n_donations_imp,dem_55_imp,dem_60_imp,dem_dollar,gop_dollar,gvkey_bank,kempf_share,kempf_dem
2008,Bank of New York Mellon,0.5873015873015873,126,TRUE,NA,0.8,25,TRUE,TRUE,721207,467508,2019,0.6067114489175286,1
2008,Bofa Securities,0.5247469066366705,1778,NA,NA,0.49693251533742333,163,NA,NA,142684,406568,11856,0.25977875365041914,0
2008,Cit Group Incorporated,0.7333333333333333,15,TRUE,TRUE,0.3333333333333333,3,FALSE,FALSE,13900,18850,149738,0.42442748091603055,0
2008,Citi,0.6646341463414634,164,TRUE,TRUE,0.6,15,TRUE,TRUE,3412982,2060556,3243,0.6235422134641251,1
2008,Comerica Incorporated,0.5,8,NA,NA,0,1,FALSE,FALSE,6200,2765,3231,0.6915783602900167,1
2008,Fifth Third Bank,0.4444444444444444,9,FALSE,NA,0,2,FALSE,FALSE,55000,116300,4640,0.3210741389375365,0
2008,First Bank National Association,0.23728813559322035,59,FALSE,FALSE,0.4,10,FALSE,FALSE,NA,NA,NA,NA,NA
2008,Goldman Sachs and Company,0.7184065934065934,728,TRUE,TRUE,0.7837837837837838,37,TRUE,TRUE,4953495,1707723,114628,0.7436320204503141,1
2008,Jefferies,0.4117647058823529,17,FALSE,NA,1,1,TRUE,TRUE,NA,NA,NA,NA,NA
2008,JP Morgan,0.8643410852713178,258,TRUE,TRUE,0.84,25,TRUE,TRUE,4071240,2645198,2968,0.6061605869063333,1
2008,Keybank,0.4375,32,FALSE,NA,0.7142857142857143,7,TRUE,TRUE,71000,140180,9783,0.3362060801212236,0
2008,Mandt Bank,0.7222222222222222,18,TRUE,TRUE,0.75,4,TRUE,TRUE,93345,19700,4699,0.8257331151311424,1
2008,Morgan Stanley,0.581799591002045,978,TRUE,NA,0.47297297297297297,74,NA,NA,2405683,1774672,12124,0.5754733748688807,1
2008,Northern Trust Corporation,0.7313432835820896,67,TRUE,TRUE,0.9090909090909091,11,TRUE,TRUE,219642,74795,7982,0.7459728227091025,1
2008,PNC Bank,0.525,40,NA,NA,0.4444444444444444,9,FALSE,NA,128273,225375,8245,0.3627137718861693,0
2008,Regions Bank,0.2916666666666667,48,FALSE,FALSE,0.16666666666666666,6,FALSE,FALSE,81507,335690,4674,0.1953681354372155,0
2008,State Street Bank,0.875,8,TRUE,TRUE,NA,NA,NA,NA,153517,73350,10035,0.6766828141598381,1
2008,SVB Financial Group,0.5555555555555556,9,TRUE,NA,NA,NA,NA,NA,33400,10100,17120,0.767816091954023,1
2008,Truist Financial,0.3225806451612903,62,FALSE,FALSE,0,5,FALSE,FALSE,142684,406568,11856,0.25977875365041914,0
2008,Wells Fargo and Company,0.653179190751445,346,TRUE,TRUE,0.5757575757575758,33,TRUE,NA,1020404,1120637,8007,0.4765924613307265,NA
2010,Bank of New York Mellon,0.6,65,TRUE,TRUE,1,12,TRUE,TRUE,510830,425166,2019,0.5457608793199971,NA
2010,Bofa Securities,0.34347826086956523,690,FALSE,FALSE,0.3103448275862069,87,FALSE,FALSE,57850,316632,11856,0.15448005511613375,0
2010,Cit Group Incorporated,0.4444444444444444,9,FALSE,NA,0,1,FALSE,FALSE,12750,21250,149738,0.375,0
2010,Citi,0.5581395348837209,43,TRUE,NA,1,4,TRUE,TRUE,617040,870443,3243,0.41482154754037526,0
2010,Comerica Incorporated,0.75,4,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
